,video_id,comments
23,MAEQErPVzhU,"['Cool one of my home towns.', 'I can’t believe I was there', '❤❤❤❤❤💝💝💘💘💘😘😘😘😘😘😘🥰🥰🥰🥰🥰🔥🔥🔥🔥👅😚😉', 'I love this music❤', '🤑🤑🤑🤑🤬🤬', '🤩🤗💖😇🍭👌💐🦋🌈🌍\U0001faf6✌️🙋🏻\u200d♂️', 'Good morning queens and thank you for all that you do gratitude for letting me please all of you', 'Taylor swift please attend the meeting if you are not a dragon of mine see your dragon king', 'Nets latto', ""I'm looking for all my dragons My queen""]"
24,O3T9ZtoLBzo,"['🤩🤗💖😇🍭👌💐🦋🌈🌍\U0001faf6✌️🙋🏻\u200d♂️', 'Have fun girls 🎉', 'Armys confuse 😅😅😅😅😅', 'Truely your my sweetest pie dear dua...', 'Witches man. Illuminati sell outs. Youll all burn! 🔥😢🔥', 'It’s kinda real tho like some ppl have trouble falling asleep and it can cause anxiety', 'What is BTS?', 'You are a beautiful woman.  Please, no more tattoos.', '🔥❤️🎶🦅 moon piecee', 'My favorite Dua Congratulations gorgeous 🎉😎🤩💯💓🇧🇷👏👏👏 successes always ok!!🙏💗✌🏾😘']"
25,uOz-vvp1wxY,"['megan is such an incredible performer', '❤U too ...', 'Megan ""Three"" Zero\'s (No dignity, No Clothes, No Class) \nDua Lipa - Stunning, classy & Beautiful❤', 'Song action emission tomography girls make up 🎶🎵🎥📸📸🌳🐍🐍🌃👩🏻👩🏾💋🕳🕳⚗️👗👡👡🩱👚👢👢👼🐰💅🦚🌼\U0001faba🧤👖👨🏻👨🏻👨🏻👨🏻😈🪢🌳🚟🚁', 'low level women song', 'Hi ⁹5💋☮️☮️👫✨😽', 'Thumbnail??', 'NUMBER 3 IS COMING BITCHES', 'Dua this video Is satanic . Stai attenta', 'She say Dick.. in my Life????']"
26,1U8ILvY9of4,"['🍑🍑🍑🍑🍑🍑🍒🍒', '$$', 'This is the sample of the big one 🤫🤫🤫😉😃', 'Tu es magnifique ❤️ ❤️ ❤️', 'Evito comentar de filhos vc sabe o porquê mas estou irradiante', '🤩🤗💖😇🍭👌💐🦋🌈🌍\U0001faf6✌️🙋🏻\u200d♂️', 'Certidaun baptizmu name real Cipriano pereira boavida  number religion Catholic roma number 12_10_1995 was born 3/5/95', 'Certidaun batizmuuu', 'Bi', 'Agendamento online']"
27,dJ6VyNkwPi0,"['🔌💻🎧', 'Just perfect. I love it ❤', 'I mean I never stopped loving… damn', 'Cool 👍👍👍', 'Gd', ""Dua Lipa's unreleased songs \n1. Crocodile Tears\n2. Who Do You Love\n3. Cherry"", 'Dua Lipa my welf ❤', 'Love Dua Lipa - maybe a bit too much!', 'Good good 👍', ""Try to do Miss Dua's songs re-mixed by Dj Massa Mix. He's Korean - I think ... Sometimes a different culture ❤ will do u good 👍""]"
28,VElre5GhyV4,"['WaAay Kool gurl, & any1 whoOo likes this tune should check out, Die Krupps-, ""SCHMUTZFABRIK"" on YouTube, signed, D.J. UTOPIAN WEBSURFER.', 'J.             F.                  J.            C', 'J.                      C.                   V.          V', 'K.           C.                V.             C', 'M.       J.     C.        V', ""Mi piace di più questa versione. It's easy for you 😄 I know that you speak a good Italian. 😉🤟❤️"", ""Dua Lipa's unreleased songs \n1. Crocodile Tears\n2. Who Do You Love\n3. Cherry"", 'observed sound QUALITY 2 / 5', 'Heard this song in Praque at a club, so good!', '💋🏴\u200d☠️🚬❤️🚬🏴\u200d☠️💋']"
29,N000qglmmY0,"['彼女は全てが完璧です♪🥰', ""80's ANIMATION NEVER DIES"", 'Cool Japanese animation. Is this like, sailor moon or something?', 'Playlist Zeichentrick mit Musik 🎧', 'este video lo vi Literal hace 2 años', 'Me encantó la estética de sailor moon con esta canción...realmente una genialidad ❤❤❤❤❤❤❤', 'Where is dababy?', 'Early 80s and 70s soultrain vibes absolutely love this', '1:54 ❤', 'ディレクターみるとやっぱり日本人だった']"
30,BC19kwABFwc,"['杜玻璃瓦 感覺現實生活10個心愛的女人你們喜歡什麼歌星 我幫你們請 那看你們想要辦在哪個國家 我們在下面喝自己喜歡喝的酒精飲料 聽的歌曲 後面坐在椅子上舒舒呼呼的 中東國家好像不錯喔 傍晚的時候設定國家招待還有戰鬥機 現實生活我們才有大排場 杜娃黎波 相信我我們的日子會越來越好 我有1800多 億新台幣 後面的時候呼朋引伴十個心愛的女人 我招待', '👀 Cool video 😎', '🔥🔥🔥', 'es toda una experiencia poder precenciar a los magestuosos caballos invisibles, que solo son atraidos por los huevos voladores gigantes, y el detalle de que fueran payasos me encanto ya que la unica forma de acercarse a un huevo volador gigante es con la cara pintada de payaso xd', 'I love this song', 'Just watched GHOSTED 🥸', 'La hija perdida de Adal Ramones', 'I only came here to only see her \U0001fae3\U0001fae3\U0001fae3 THIS GIRL 💔💔', 'This background sound reminds me on ""Star Wars"".', 'i sport her because she sport gaza palestine']"
31,n8OxyKNBsuQ,"['🇬🇧🇬🇧♥️♥️♥️', ""She's the best❤❤"", 'Rewatching as I wait for Houdini', 'ultra cool❤', 'and imagine if in the future there will be a future nostalgia station in London and also with a statue of dua lipa', 'I’m obsessed with dua 😢❤❤❤❤❤', 'Thank you. You educated me that it is the budget that makes the difference ❤', 'She shaked her bon bon - and I died ❤ on dat beauty 😍 spot ...', 'the camera work is so annoyiny', 'CORONA performance']"
32,_AJGUWCP1Xc,"['Best Video from Dua ❤❤❤', 'Hope you get it ... ... ... i pray ... ... ...', '😎class.... Music... 🍏', 'i love you dua lipa', 'Super! Wow!', 'We Love u dualipa : Highlight guys,😮 i find New singer ???\nTitle : Sang Juara\nArtist : Avatara Veergha \nEthnic Dayak From Kalimantan Island,Indonesia.\n(Check Now)💯', 'I LOVE YOUR WAY', 'That’s exactly what I was looking to see! It’s just so cool the way it was shot in a smaller scale, brilliant', 'Esta divertido y muy bueno este video. 🥳', 'DUA I ALWAYS CRY A LOT IN THE OLD DAYS AND NEW DAYS.']"
33,vFWv44Z4Jhk,"['Dababy OMGGGG!!! I lost my shit', '3:48', 'Girl you got those moves plus  i love your voice\nHave you ever noticed Dua lipa changed❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'AMAZING', '🇬🇧🇬🇧♥️♥️♥️', 'Girl you got those moves girl plus i love your voice \nHave you ever noticed Dua lipa changed lol❤❤❤❤❤❤❤❤❤❤❤❤❤❤ bye bye', 'Blo chunky Chunk! Yoyo', 'i remember this. fckng covid T_T', 'Crickets from the feminists lmao society is a joke hahaha', 'Fuck me for never seeing this before']"
